OTU,Ground.abund,Ground.PA,Under.abund,Under.PA,Trns
OTU97_11570,11.4069787306561,5,0,0,1
OTU97_11620,5.1955391288261,2,0,0,1
OTU97_11630,2.81443524030402,2,0,0,1
OTU97_1166,105.053657637807,18,0,0,1
OTU97_117,4.46161623853953,2,0,0,1
OTU97_11728,4.61195939241853,3,0,0,1
OTU97_11770,3.02082749393357,2,0,0,1
OTU97_1184,17.2748516847903,7,0,0,1
OTU97_11862,10.0722257968081,5,0,0,1
OTU97_11874,4.3688910994589,2,0,0,1
OTU97_11908,8.29055204223287,3,0,0,1
OTU97_11912,7.70265155755385,3,0,0,1
OTU97_11917,5.80527996244322,2,0,0,1
OTU97_11927,7.98766637104438,3,0,0,1
OTU97_1193,130.389629446434,25,0,0,1
OTU97_1196,12.6110714046336,3,0,0,1
OTU97_11968,7.23318832163808,3,0,0,1
OTU97_1197,8.83702754962338,2,0,0,1
OTU97_11981,2.44874969171041,2,0,0,1
OTU97_12018,3.34942539189898,2,0,0,1
OTU97_12045,2.58305108960777,2,0,0,1
OTU97_12052,4.90444723034732,2,0,0,1
OTU97_1212,22.7688793772559,5,0,0,1
OTU97_12153,23.1384985549196,8,0,0,1
OTU97_12158,14.8387753791737,9,0,0,1
OTU97_1230,44.0746476158554,7,0,0,1
OTU97_1231,12.4124677876116,4,0,0,1
OTU97_12310,4.98606961777937,2,0,0,1
OTU97_12314,18.2073395805443,8,0,0,1
OTU97_12315,7.75303122796967,3,0,0,1
OTU97_12319,6.66453320885971,3,0,0,1
OTU97_12334,13.59939192427,6,0,0,1
OTU97_12335,8.34112724551763,4,0,0,1
OTU97_12336,7.34103765049979,3,0,0,1
OTU97_12337,8.61342040073475,4,0,0,1
OTU97_1237,19.0394327952004,4,0,0,1
OTU97_12382,4.19764589030519,4,0,0,1
OTU97_12395,5.32554765526625,2,0,0,1
OTU97_12418,13.7795998925497,5,0,0,1
OTU97_12427,20.9610726311044,9,0,0,1
OTU97_1245,14.2837664036352,3,0,0,1
OTU97_1246,52.2881363688929,20,0,0,1
OTU97_12511,4.36232432146917,3,0,0,1
OTU97_1255,22.9026362985299,7,0,0,1
OTU97_12645,5.2702282558831,3,0,0,1
OTU97_12810,15.2971263019192,5,0,0,1
OTU97_12819,14.033306564791,5,0,0,1
OTU97_12823,7.80382150864726,3,0,0,1
OTU97_12826,4.98005449364387,2,0,0,1
OTU97_12828,5.79808642749856,3,0,0,1
OTU97_12829,8.82988862196888,4,0,0,1
OTU97_12836,9.74186283003277,3,0,0,1
OTU97_12837,5.70020402495729,2,0,0,1
OTU97_12839,7.91923547251409,3,0,0,1
OTU97_12852,3.1450841869693,2,0,0,1
OTU97_1286,45.1353114689483,8,0,0,1
OTU97_1287,40.1292892114302,9,0,0,1
OTU97_12880,5.46697255413592,2,0,0,1
OTU97_1290,35.8887979007007,9,0,0,1
OTU97_1297,28.6912495650661,7,0,0,1
OTU97_1309,27.9412840694931,12,0,0,1
OTU97_13090,4.57133433184923,2,0,0,1
OTU97_13096,6.5877989412116,2,0,0,1
OTU97_13351,6.51484457977516,3,0,0,1
OTU97_13358,5.84060049998748,2,0,0,1
OTU97_13367,6.42116353324105,2,0,0,1
OTU97_13370,6.15462724252365,2,0,0,1
OTU97_1338,3.1096583154902,2,0,0,1
OTU97_1339,174.334819042771,32,0,0,1
OTU97_1341,3.25453957501107,2,0,0,1
OTU97_1345,26.2407299755415,6,0,0,1
OTU97_13458,3.67100419307142,2,0,0,1
OTU97_13506,5.24367009491471,3,0,0,1
OTU97_13512,5.12592306717512,2,0,0,1
OTU97_1356,4.15339421103346,3,0,0,1
OTU97_1366,43.5557510631595,10,0,0,1
OTU97_13677,5.00665095681364,2,0,0,1
OTU97_1369,11.0590159900597,3,0,0,1
OTU97_1374,64.3573571772596,14,0,0,1
OTU97_1390,74.9780420477563,18,0,0,1
OTU97_13921,4.24781628423555,2,0,0,1
OTU97_13922,5.54910718488859,2,0,0,1
OTU97_13924,7.02363666515235,3,0,0,1
OTU97_13932,5.21148218992317,2,0,0,1
OTU97_13956,4.00955836910932,2,0,0,1
OTU97_13957,6.96758492089461,3,0,0,1
OTU97_13963,7.62383812543106,3,0,0,1
OTU97_13964,5.45491847739302,2,0,0,1
OTU97_13997,12.7697131272042,5,0,0,1
OTU97_1403,4.42516045052131,3,0,0,1
