OTU,Transect,MantelR,MantelP,Mantel.y.intercept,MoranP,MoranZ
OTU97_12978,1,0.154964919002311,0.042,0.218893667287199,0.911828625811073,-0.0266187617755172
OTU97_12978,4,0.154332487847635,0.041,0.110653072204779,0.00023041540337787,0.0623567096096163
OTU97_1318,12,0.136239720318782,0.017,1.79728607306237,0.000949097337525462,0.0719545726588346
OTU97_13424,4,0.138668142321764,0.038,0.458062467638722,0.038472503620973,0.0293590618589827
OTU97_1343,1,0.293934836235119,0.001,0.300620668644213,2.05690620092014e-09,0.141547730676994
OTU97_1343,6,0.170378297681637,0.025,0.0526554361900977,0.253456385412276,-0.00398199539664673
OTU97_135,1,0.195918412871057,0.007,1.27200237475547,2.09312522869709e-09,0.145170049347611
OTU97_1379,1,0.168178651388369,0.011,1.72874736197941,0.000444447923036995,0.0740892956511561
OTU97_1379,9,0.143464072526651,0.04,0.568634612377025,0.621941014848872,-0.015240904159695
OTU97_13929,1,0.16627193580045,0.033,0.147535857042604,0.476450116019539,-0.0120136252845097
OTU97_1416,1,0.114196276350484,0.041,1.26831293660204,0.0608521900248127,0.0258556275507794
OTU97_1416,4,0.153962540328567,0.012,0.829327204150597,0.101632380808758,0.0176058560446726
OTU97_1432,4,0.307232056107714,0.001,0.506458682628914,2.0879320494771e-10,0.155944058187834
OTU97_1433,1,0.156088302148955,0.039,0.0348662956838662,0.683912861481225,-0.0383714889037082
OTU97_1433,6,0.137256466706005,0.024,1.74940897148663,0.0374651708016338,0.0306768049963172
OTU97_1437,9,0.148860679494344,0.028,0.617533959473265,0.404932883603875,-0.0530258842880858
OTU97_1441,9,0.193556594676357,0.012,0.864354097030977,0.105264748151172,0.0168798427550349
OTU97_14446,1,0.144448552357942,0.044,0.270280099263865,0.0379908892274337,0.0271753048077106
OTU97_1456,4,0.102880597577205,0.043,1.71831301468376,0.0291961358505151,0.0351773416104264
OTU97_1465,4,0.15754735310452,0.013,0.999910687960451,0.0154033078088569,0.0427958588836153
OTU97_14656,4,0.127609378180046,0.036,0.5418560763643,0.649471215578044,-0.0156612026419142
OTU97_15208,4,0.211814551572097,0.005,-0.00552851168349479,5.55801758013175e-05,0.0530377394017525
OTU97_1527,6,0.14865495493557,0.023,1.80783268267761,0.657332268672159,-0.0158711693771526
OTU97_1612,1,0.180990545910928,0.01,1.32646405717336,0.267755682434943,0.00329700485885198
OTU97_1685,4,0.163724689807299,0.011,1.88495542575838,3.79281523965602e-08,0.131895174405116
OTU97_1694,1,0.311706753585391,0.001,0.335418092310402,1.81173454016914e-09,0.128512609135444
OTU97_16977,1,0.20961055301652,0.005,-0.00430370952634705,0.070703809887402,0.00419567205655477
OTU97_1796,1,0.140014016105222,0.027,0.99451216841221,0.15047244646977,0.0117566671150426
OTU97_18048,4,0.13334748310795,0.049,0.0870181246969873,0.045724008930617,0.00866509655694458
OTU97_1807,10,0.156283594087488,0.046,0.0786006529603078,0.0425653997445987,0.0161496626212224
OTU97_1828,10,0.212480073131266,0.007,0.390208197683992,8.61307061228445e-08,0.115929755358555
OTU97_187,6,0.111879179328427,0.028,1.22072527816653,0.177486266439284,0.0111603409958126
OTU97_19,6,0.232229579699188,0.002,1.15589995264511,7.34956004277976e-07,0.115529573122181
OTU97_19,10,0.326953780493946,0.001,1.30111700766493,3.7008174302855e-12,0.175885363108233
OTU97_1904,10,0.142339205610818,0.039,0.24084605923782,0.840222120405084,-0.0233034594227834
OTU97_19094,10,0.17283309215957,0.032,0.0264830046517929,0.000213347621022209,0.0529204241960212
OTU97_1931,9,0.166930157970907,0.006,1.23351135362178,0.00466125947934914,0.0560099803370096
OTU97_1988,9,0.238452191291816,0.006,0.388869428878909,0.00137887179786311,0.0587532182086607
OTU97_1992,1,0.238425023394511,0.002,0.260355951708837,0.000218651433807171,0.0716953912839163
OTU97_2040,4,0.146374508122091,0.011,0.691241691422362,2.63229045227575e-06,0.108553504193605
OTU97_2056,9,0.177240123238077,0.042,0.0225568764093769,0.000954613813049177,0.0449923878243811
OTU97_2101,9,0.172797903752135,0.024,0.53479782337819,1.71977560636805e-07,0.111923910662447
OTU97_2186,4,0.221926393325077,0.004,1.10805935203174,1.05226938273972e-12,0.171508752265846
OTU97_21960,4,0.164896489583258,0.038,0.078999838222064,0.733880624516376,-0.0205068692129195
OTU97_2238,4,0.155901397840983,0.037,0.245174106878026,0.777703329343066,-0.0221063696739525
OTU97_2240,1,0.141299818110638,0.012,1.15138754532552,0.000814413624663501,0.0707056909772999
OTU97_2240,6,0.264631261932327,0.001,1.34356474148945,2.65549804367993e-11,0.168048790958409
OTU97_2241,1,0.13474625438821,0.036,0.734405649568683,0.0061266814217853,0.0508506396620254
OTU97_228,4,0.151302189744012,0.018,0.736001322383451,0.196557486987402,0.00837093753584815
OTU97_228,6,0.309515201069609,0.001,1.54768543005146,0,0.236821452658444
OTU97_2302,6,0.175508612102932,0.024,0.0476560648556667,0.000177242650963194,0.0488656254967559
OTU97_232,4,0.129179217651014,0.035,1.78907103189283,0.090782062744502,0.0173966466911786
OTU97_232,9,0.0937374348561976,0.044,1.5141063695855,0.855265549114136,-0.0348829282020024
OTU97_2337,4,0.186430897331029,0.004,1.3708687841648,8.75960111534901e-06,0.103342720823487
OTU97_2355,9,0.193278357621475,0.014,0.438472994947553,0.760156636759647,-0.0374137901419324
OTU97_2403,9,0.15999781964009,0.045,0.143102507072605,0.516333447480918,-0.0442355330005657
OTU97_2406,1,0.242242652874402,0.001,0.793227821260008,4.07484268549752e-10,0.152318622854525
OTU97_2409,1,0.136805257587699,0.022,1.42746336653473,0.00470131699473408,0.0533840286808889
OTU97_2425,4,0.376083215574659,0.001,0.713195891037337,0,0.211172125480104
OTU97_243,10,0.163895297811735,0.009,2.17074278001891,0.000466226260725122,0.0743671533845489
OTU97_25,12,0.16311647699377,0.031,0.693213481360986,0.578039292619572,-0.0432963703587372
OTU97_2512,6,0.127436015904401,0.049,0.414199481955584,0.964931409383849,-0.029747928668004
OTU97_257,12,0.190327653031318,0.003,1.67873106873551,1.0043088919387e-05,0.105746579042104
OTU97_26,1,0.241209197046477,0.003,1.13760391794619,8.47057010133767e-06,0.0943671601435074
OTU97_2608,6,0.285072093649195,0.001,1.21817271445192,2.092957279487e-06,0.111322707084756
OTU97_2644,12,0.223588659979185,0.002,0.148448960797159,0.660532653027234,-0.0176228229505501
OTU97_2665,4,0.137744703265562,0.046,0.309264282326835,0.00279176834863382,0.0560805746853143
OTU97_273,10,0.16353266196298,0.021,0.17466421991997,0.191182379840457,0.0051519207365041
OTU97_2746,4,0.194924010583027,0.006,1.46561108253271,4.31690905244864e-09,0.143193063772395
OTU97_2796,9,0.174539918112054,0.018,0.427263788735982,0.310899087322465,-0.00170095745895286
OTU97_2827,1,0.317215045485336,0.001,1.14645383198593,1.3988810110277e-13,0.190869384042719
OTU97_283,6,0.238130002918253,0.004,2.22379577570286,1.45840621801341e-07,0.12677693764067
OTU97_2833,1,0.206455242748072,0.004,0.959003486370268,5.39780153907543e-08,0.127844783057086
OTU97_2838,6,0.285029982517952,0.001,0.431307382040338,5.57014434576786e-11,0.160239628249589
OTU97_2843,12,0.0897086618704878,0.045,1.59114227555773,0.0395450879318009,0.033906740689473
OTU97_2868,10,0.170431587260325,0.022,0.125852354883942,7.19093672163496e-06,0.0738701554949419
OTU97_2870,4,0.151818659213703,0.023,1.0231866271036,0.666455290976045,-0.0168867187088333
OTU97_2915,4,0.158863759683517,0.005,1.30850797470064,0.0508587748244869,0.0286125368966396
OTU97_2933,10,0.144226684413081,0.014,1.68635311955104,0.0468643385412095,0.0298965756707489
OTU97_3,1,0.156657075935482,0.045,0.086543837206896,0.0166867688527093,0.0301455259294195
OTU97_3025,9,0.177334894730151,0.013,0.739577593058879,1.79951404426504e-05,0.091935529299354
OTU97_3077,4,0.164559820615864,0.026,0.262568965346139,0.0576790795901656,0.0211841193361661
