OTU,Ground.abund,Ground.PA,Under.abund,Under.PA,Trns
OTU97_769,102.492228268734,34,233.481843118036,36,4
OTU97_7744,18.4815381600368,9,66.0313534564937,24,4
OTU97_7757,6.18465554759969,2,13.0556021628588,6,4
OTU97_777,6.14493777130509,3,97.0425764910248,26,4
OTU97_7774,5.65811731703062,2,32.7469239628784,12,4
OTU97_78,6.04876243873905,3,8.6661558221882,3,4
OTU97_794,41.2748477840531,14,14.1205967802918,5,4
OTU97_795,7.21880145925204,3,13.3426850089052,5,4
OTU97_8015,6.62359778243382,4,6.74766491834276,4,4
OTU97_8067,5.43447848467574,2,26.4633311378847,13,4
OTU97_8084,32.2910482352474,12,35.0501027675163,13,4
OTU97_809,7.368577549235,3,10.5857399293307,5,4
OTU97_812,5.00357920736687,2,178.26070045038,33,4
OTU97_821,4.2126295643497,3,40.0027773531939,18,4
OTU97_8229,3.93322910974468,2,7.11634944547973,3,4
OTU97_8243,4.49542905002806,2,9.09014015846727,4,4
OTU97_826,70.3402675135772,22,212.763242232866,36,4
OTU97_827,16.8015934299272,9,142.775283520301,32,4
OTU97_8270,4.58166190775579,4,28.1306540576469,13,4
OTU97_8296,10.1603780060865,6,7.780054633819,4,4
OTU97_8378,3.61116632425009,2,8.84444791030239,3,4
OTU97_842,217.497379773671,35,17.3521443805908,5,4
OTU97_8426,4.17120176615635,2,7.57366426256425,2,4
OTU97_8522,21.1176071297234,11,1.90914051577549,2,4
OTU97_8532,39.962496514412,13,3.41121335302042,2,4
OTU97_8618,11.5142617145205,4,5.84218795336283,2,4
OTU97_8619,11.5795698801723,4,28.7107213053354,11,4
OTU97_8629,5.56530519574191,2,18.8384561833818,9,4
OTU97_8643,3.8690914330781,2,4.63772239410757,3,4
OTU97_872,3.74115621203459,2,93.0580648033157,30,4
OTU97_8721,5.13506454267502,2,8.20866907311643,5,4
OTU97_875,16.0225107623263,7,16.129670141792,7,4
OTU97_882,3.224295429999,2,95.5686588639936,24,4
OTU97_904,79.3613509893669,24,204.314897851605,36,4
OTU97_9044,8.74872761504837,2,14.4582954558087,8,4
OTU97_9045,14.848966711582,5,5.33289752290133,3,4
OTU97_905,47.9470044546103,12,15.0654716004688,5,4
OTU97_917,23.5313806598295,4,50.0422783440493,17,4
OTU97_9205,3.96789372293261,2,4.58355428845396,2,4
OTU97_921,8.78865014148729,2,65.3708246472131,18,4
OTU97_9255,24.7286370976677,11,6.88428182298086,3,4
OTU97_9263,8.05616837852098,4,4.35924493518551,2,4
OTU97_928,10.7407588343576,6,25.4641218356547,12,4
OTU97_9280,4.27031053245916,2,6.44206488755106,3,4
OTU97_9348,4.14013757119391,2,8.81256226653083,5,4
OTU97_942,9.02629258310611,2,17.3956285203924,7,4
OTU97_9420,19.3039673279395,10,71.7276191623481,18,4
OTU97_958,104.488602225873,19,5.66699393995825,2,4
OTU97_963,131.327197793398,29,5.64268937287547,3,4
OTU97_97,49.8049271855672,15,130.158468025272,31,4
OTU97_9723,7.94287085277459,3,28.3096602125268,9,4
OTU97_973,4.46077336394593,3,164.65250336507,36,4
OTU97_9790,4.05799347256334,2,3.56179915523177,3,4
OTU97_983,13.5627437257552,3,4.98165023367727,2,4
OTU97_988,46.2693609345403,15,37.5364892657616,12,4
OTU97_9903,6.08396222237271,3,6.10635550941174,3,4
OTU97_9918,29.3134205995464,12,7.9228339447327,5,4
OTU97_994,44.2612688572016,14,120.4004542532,30,4
OTU97_9970,14.8038349147315,5,7.09650986718931,2,4
OTU97_9973,12.5491010732642,7,24.6455705713447,12,4
OTU97_9976,9.67373005810924,3,6.04918207931444,2,4
OTU97_9978,41.0390941767489,14,4.31311918507136,2,4
OTU97_9984,5.19282289100891,3,38.6197521851746,11,4
OTU97_999,3.72630781725325,3,88.5563110435457,26,4
OTU97_10011,9.27193974883413,6,9.15091241903678,3,6
OTU97_101,52.8035573042311,18,239.609949170591,36,6
OTU97_1021,13.0875166570006,3,17.4071361546639,5,6
OTU97_1024,4.59813811284803,2,79.2295813939539,23,6
OTU97_1028,12.595798008944,8,58.4749306437869,18,6
OTU97_1030,34.3914691884685,7,9.79422810266579,4,6
OTU97_10477,3.78375655483472,2,5.57617091303128,2,6
OTU97_10544,14.0068952948973,5,2.98925863388143,2,6
OTU97_10569,16.8472442535667,8,2.6065099010461,2,6
OTU97_1058,30.0728084320115,11,81.4128035919577,15,6
OTU97_1059,59.7237456131519,12,29.6770925067866,11,6
OTU97_106,6.96595693901574,4,231.965820342731,36,6
OTU97_1077,12.3773215187228,6,5.58152228551888,2,6
OTU97_108,62.9645937199663,12,7.19254431723209,4,6
OTU97_1084,10.4008376291891,4,3.11045486899884,2,6
OTU97_1088,33.5909569722741,11,183.73575929497,35,6
OTU97_111,9.81264474710905,3,5.03910741273782,2,6
OTU97_11140,5.60915625568788,3,43.9253824391644,13,6
OTU97_11212,14.9000684645906,4,5.57326333566631,2,6
OTU97_1125,38.3095976824437,7,109.287824296945,26,6
OTU97_114,8.33740660026831,4,137.494941301839,28,6
OTU97_11534,19.2881841489286,7,3.6351340652414,2,6
OTU97_11585,7.83174323291231,3,7.04368918194191,2,6
OTU97_1160,23.8748359595069,11,19.2522523485636,6,6
OTU97_11600,6.06077623228593,3,8.72615144926818,3,6
OTU97_1161,5.53993161097801,2,123.5420763996,29,6
OTU97_11612,11.1298376540998,5,5.6221365432631,3,6
OTU97_1162,2.08439040761169,2,147.539291013583,34,6
OTU97_1168,3.68984513412064,2,111.478460750968,31,6
OTU97_1169,63.6535866547042,10,31.2609006682142,11,6
OTU97_1176,55.2788485351552,21,120.596813861292,28,6
OTU97_1181,22.7022799803319,7,127.538774229894,30,6
OTU97_1189,45.3160761437103,9,13.2072606352274,7,6
OTU97_1197,8.7204676364537,3,5.46770681094022,2,6
OTU97_1198,10.9040108259753,6,83.6739646407209,23,6
OTU97_11994,5.0776304542906,4,4.47071697073467,2,6
OTU97_11998,4.73299845310225,2,8.01045615687099,4,6
OTU97_12,13.262412746434,6,50.8959213513777,9,6
OTU97_12004,3.85436717461295,2,13.0843265569675,5,6
OTU97_1203,86.8349294238091,18,63.2020748126705,19,6
OTU97_121,2.77216650857905,2,26.3254826878488,9,6
OTU97_12440,7.65383562518436,4,5.70108102424751,3,6
OTU97_1246,49.271469819874,16,7.12300538369403,3,6
