OTU,Ground.abund,Ground.PA,Under.abund,Under.PA,Trns
OTU97_1605,0,0,28.5921681690153,10,1
OTU97_16170,0,0,14.1377817746867,7,1
OTU97_16171,0,0,6.4221290251797,3,1
OTU97_1618,0,0,2.04017319821088,2,1
OTU97_16190,0,0,5.96159765763358,2,1
OTU97_16191,0,0,3.7822069718011,2,1
OTU97_16220,0,0,8.50335743861674,4,1
OTU97_16221,0,0,7.49436895272613,4,1
OTU97_16225,0,0,4.46968619865836,2,1
OTU97_1634,0,0,18.1655872384773,7,1
OTU97_16399,0,0,3.64254810108464,2,1
OTU97_16428,0,0,4.98468529883285,2,1
OTU97_16448,0,0,2.32503268970835,2,1
OTU97_16522,0,0,2.83639790123685,2,1
OTU97_1674,0,0,21.216815669417,8,1
OTU97_16797,0,0,2.83601867903711,2,1
OTU97_16806,0,0,2.9324713388566,2,1
OTU97_1685,0,0,8.23485923335712,3,1
OTU97_17173,0,0,3.66673787248397,2,1
OTU97_17174,0,0,3.52648517113746,2,1
OTU97_17189,0,0,4.66466441956866,2,1
OTU97_17195,0,0,4.69524409373951,2,1
OTU97_17214,0,0,4.1305296580239,2,1
OTU97_1723,0,0,15.0975977717183,3,1
OTU97_17268,0,0,3.83528120633045,2,1
OTU97_17400,0,0,5.55691250544869,3,1
OTU97_17422,0,0,5.45149486662022,2,1
OTU97_1745,0,0,7.70956751946605,4,1
OTU97_17470,0,0,5.44801691652606,3,1
OTU97_1754,0,0,15.8160237960593,7,1
OTU97_17550,0,0,4.00826136094383,2,1
OTU97_176,0,0,23.8373952941902,7,1
OTU97_17700,0,0,4.3649705277878,2,1
OTU97_1776,0,0,12.8836444096914,6,1
OTU97_1787,0,0,87.4170410919579,23,1
OTU97_1791,0,0,38.1197246015013,11,1
OTU97_1798,0,0,4.3223353948289,3,1
OTU97_18047,0,0,2.96847535481367,2,1
OTU97_18066,0,0,4.0870711268515,2,1
OTU97_18068,0,0,3.86465957026569,2,1
OTU97_1809,0,0,51.0711690612902,18,1
OTU97_1822,0,0,20.3884710823915,5,1
OTU97_18284,0,0,5.42020691553784,2,1
OTU97_18286,0,0,4.08388157656251,2,1
OTU97_18311,0,0,4.7180442760899,2,1
OTU97_18318,0,0,4.4660856367846,2,1
OTU97_18336,0,0,4.26513934966737,2,1
OTU97_18340,0,0,5.82485087300501,2,1
OTU97_18347,0,0,6.75376724770036,3,1
OTU97_18382,0,0,4.92329441358304,2,1
OTU97_18386,0,0,2.88702837614294,2,1
OTU97_1878,0,0,24.559399300402,8,1
OTU97_1889,0,0,29.9486234574142,9,1
OTU97_1895,0,0,42.1856203756311,12,1
OTU97_1901,0,0,49.9851853101154,15,1
OTU97_1904,0,0,8.42572823372121,4,1
OTU97_1919,0,0,3.38559571497115,2,1
OTU97_1925,0,0,129.979158570952,31,1
OTU97_19409,0,0,3.10705102416821,2,1
OTU97_19412,0,0,4.8819211020093,2,1
OTU97_19448,0,0,10.2117449699617,5,1
OTU97_1960,0,0,5.22939566846512,3,1
OTU97_19693,0,0,4.38488618241424,2,1
OTU97_19697,0,0,4.51201267881019,2,1
OTU97_19699,0,0,4.92661911202321,2,1
OTU97_197,0,0,25.3091469229983,9,1
OTU97_1970,0,0,29.3877219395442,9,1
OTU97_19702,0,0,11.3228275322735,5,1
OTU97_1972,0,0,4.20323649323691,2,1
OTU97_1973,0,0,12.2847702641909,4,1
OTU97_19751,0,0,4.69191692415665,2,1
OTU97_19790,0,0,5.99600555806148,3,1
OTU97_19795,0,0,3.52224333837795,2,1
OTU97_19801,0,0,2.32503268970835,2,1
OTU97_19849,0,0,6.0329921742257,3,1
OTU97_19850,0,0,7.66451984853579,4,1
OTU97_19860,0,0,3.91164458979715,2,1
OTU97_20,0,0,3.77714173706802,2,1
OTU97_2009,0,0,2.55095330776062,2,1
OTU97_2013,0,0,3.59442043877133,2,1
OTU97_2029,0,0,6.85058320966577,2,1
OTU97_2037,0,0,148.464010185736,30,1
OTU97_2044,0,0,4.41656727675512,2,1
OTU97_2083,0,0,15.7215898618851,3,1
OTU97_21054,0,0,5.87365041809836,4,1
OTU97_21162,0,0,4.43270310945957,2,1
OTU97_21179,0,0,4.05200572114279,2,1
OTU97_2147,0,0,23.6186451736663,8,1
OTU97_21511,0,0,4.10718340008307,2,1
OTU97_21552,0,0,4.28398921078299,2,1
OTU97_21558,0,0,3.9606308905668,2,1
OTU97_21561,0,0,3.15861948882363,2,1
OTU97_21569,0,0,4.70123573937665,3,1
OTU97_21613,0,0,2.7877888424882,2,1
OTU97_21625,0,0,3.99518097573091,2,1
OTU97_2166,0,0,15.0451279846742,7,1
OTU97_21675,0,0,3.39684351596601,2,1
OTU97_21676,0,0,3.51372020588747,2,1
OTU97_21678,0,0,5.04885960485765,3,1
OTU97_21685,0,0,1.74272272338024,2,1
OTU97_217,0,0,196.205654808399,30,1
OTU97_2191,0,0,18.8974098373026,8,1
OTU97_2192,0,0,23.8745993232139,10,1
OTU97_2223,0,0,3.70909820112325,2,1
OTU97_2226,0,0,16.1358241934485,4,1
OTU97_2234,0,0,15.9035680696357,6,1
OTU97_2247,0,0,7.22425529895477,2,1
OTU97_2270,0,0,3.67299163130378,2,1
OTU97_2294,0,0,5.07632389009547,3,1
OTU97_2322,0,0,18.4828530429306,8,1
OTU97_2324,0,0,20.2112407237698,7,1
OTU97_23329,0,0,5.15681838678416,4,1
OTU97_2349,0,0,51.3244193974526,14,1
OTU97_2354,0,0,2.40658131876753,2,1
OTU97_2360,0,0,4.68719030702408,3,1
OTU97_2361,0,0,14.0894566721214,5,1
OTU97_23740,0,0,2.36977736860551,2,1
OTU97_23804,0,0,3.80370960709379,2,1
OTU97_2382,0,0,19.0590942122504,7,1
OTU97_23862,0,0,2.98121772132393,2,1
OTU97_23872,0,0,2.46580514165415,2,1
OTU97_23949,0,0,3.49322861940412,2,1
OTU97_23950,0,0,3.07466599021804,2,1
OTU97_23954,0,0,2.50268628848694,2,1
OTU97_2401,0,0,45.2373909455149,17,1
OTU97_2402,0,0,27.6533017232,11,1
OTU97_2403,0,0,15.456127277582,4,1
OTU97_2405,0,0,11.8483116571548,4,1
OTU97_24066,0,0,3.57050888660003,3,1
OTU97_2414,0,0,50.4110959018222,18,1
OTU97_24346,0,0,2.34632952464747,2,1
OTU97_2439,0,0,9.47518303543106,5,1
OTU97_2458,0,0,7.33008355970744,4,1
OTU97_2517,0,0,6.20506220579057,2,1
OTU97_2537,0,0,12.8562070877095,4,1
OTU97_2554,0,0,23.001830397092,8,1
OTU97_2560,0,0,9.4716367615886,3,1
OTU97_260,0,0,16.2825509316761,5,1
OTU97_26133,0,0,3.73536163121546,3,1
OTU97_2649,0,0,3.01641221756804,2,1
OTU97_2668,0,0,7.36118446686672,2,1
OTU97_2671,0,0,27.1759434167404,11,1
OTU97_26792,0,0,2.05006646284883,2,1
OTU97_2690,0,0,5.86396423615142,2,1
OTU97_2691,0,0,72.4855704099342,24,1
OTU97_2692,0,0,27.0378666889202,10,1
OTU97_26959,0,0,2.2781906941907,2,1
OTU97_27069,0,0,2.31636613449946,2,1
OTU97_2721,0,0,3.10829031306592,2,1
OTU97_2739,0,0,26.7247201951579,9,1
OTU97_2753,0,0,12.3480864127418,4,1
OTU97_2754,0,0,20.4479258834478,5,1
OTU97_2809,0,0,59.0253044809473,16,1
OTU97_2814,0,0,12.801604936995,5,1
OTU97_287,0,0,9.47709579093856,4,1
OTU97_2890,0,0,4.69483557004743,2,1
